,company_id,Company Name,Estab_year,Employees_count
442,3454,Eclat Engineering,2013,10--50
443,6715,OpenGrowth,2018,0 - 10
444,8597,Prodigal,2018,10--50
445,4203,Walko Food,2012,500 - 1000
446,5613,Applicate IT Solutions,2014,50 - 200
447,7319,Emint,2022,0 - 10
448,1654,Entropik Technologies,2016,50 - 200
449,6794,Kloudfuse,2020,10--50
450,3882,SpurX,2017,10--50
451,4098,Squadcast,2017,10--50
452,5845,WidasConcepts India,2015,50 - 200
453,5155,Avaamo,2014,50 - 200
454,6562,Exeter Premedia Services,2004,50 - 200
455,3943,Flipkart,2007,More than 1000
456,9816,MediBuddy,2013,More than 1000
457,7328,Reliance Nippon Life Insurance,2000,More than 1000
458,6458,Suez,1880,More than 1000
459,4967,Dyte,2020,50 - 200
460,1809,Horizon Broadband,2018,10--50
461,8238,Continual Engine,2017,50 - 200
462,4775,ideaForge,2007,
463,8012,Infogain,1990,More than 1000
464,3216,Saadia Group,2021,More than 1000
465,5165,Teradata,1980,More than 1000
466,1803,Verizon Communications,1983,More than 1000
467,5007,DAZN,2007,More than 1000
468,3944,FalconX,2018,50 - 200
469,9304,Only Much Louder,2001,50 - 200
470,7900,UnionSys Technologies,2008,50 - 200
471,9458,Amantya Technologies,2018,200 - 500
472,5777,msg global solutions,2008,500 - 1000
473,7989,RxLogix,2010,50 - 200
474,1197,Sciometrix,2016,50 - 200
475,3799,Simplilearn,2009,More than 1000
476,3762,Zoronto,2016,10--50
477,9001,Credit Repair Cloud,2002,
478,8459,FourthPointer Services,2012,50 - 200
479,9150,Mphasis,1998,More than 1000
480,8518,Mynd Integrated Solutions,2002,500 - 1000
481,9363,Nagarro,1996,More than 1000
482,2027,Warpdrive Tech Works,2016,50 - 200
483,7971,Conviva,2006,200 - 500
484,5582,Creditas Solutions,2017,50 - 200
485,2057,DriveU,2015,10--50
486,4579,Elogix Software,2002,
487,3469,Perfora,2021,10--50
488,6344,Thrasio,2018,More than 1000
489,4009,AlmaBetter,2020,10--50
490,3864,Augmento Labs,2019,10--50
491,9568,Neuronimbus Software Services,2004,50 - 200
492,1536,A Society Consulting,2017,10--50
493,5419,Acor Infra Projects India,1990,200 - 500
494,9932,Bristol Myers Squibb,1887,More than 1000
495,7866,coMakeIT,2006,200 - 500
496,4391,Fluxon,2017,50 - 200
497,2859,Moback,2011,50 - 200
498,7587,Rubrik,2015,500 - 1000
499,9597,StatusNeo,2019,10--50
500,3792,CloudThat,2012,200 - 500
501,3029,InMobi,2007,More than 1000
502,4071,KnowledgeHut,2011,200 - 500
503,4468,Recrosoft Technologies,2012,200 - 500
504,6789,Wecraft Interactive Solutions,2016,10--50
505,2286,Angel One,1987,More than 1000
506,8394,BootesNull,2019,10--50
507,5198,Kinara Capital,2011,500 - 1000
508,3197,Lal10,2015,10--50
509,4539,Unified Infotech,2010,50 - 200
510,3796,Availity,2001,500 - 1000
511,5646,Goldman Sachs,1869,More than 1000
512,7934,HCL Technologies,1976,More than 1000
513,3052,IG,1998,More than 1000
514,5710,IG India,2004,50 - 200
515,5992,Kadel Labs,2017,50 - 200
516,1699,StockGro,2020,10--50
517,4699,Transerve Technologies,2009,10--50
518,6983,Datawrkz,2013,10--50
519,2160,Trika Technologies,2019,50 - 200
520,4532,Vayavya Labs,2006,50 - 200
521,4101,Visionet Systems,1995,500 - 1000
522,8220,Wildcraft,1998,More than 1000
523,7240,Zymr,2012,200 - 500
524,8879,Atlassian,2002,More than 1000
525,8804,Inito,2014,10--50
526,3593,Mahindra Logistics,2007,More than 1000
527,1000,CityFurnish,2015,50 - 200
528,9675,PriceLabs,2014,10--50
529,9717,Testsigma,2017,10--50
530,8774,Bright Money,2019,50 - 200
531,7408,Colmore,2017,50 - 200
532,3346,HBK,2019,More than 1000
533,9624,Niral Networks,2019,0 - 10
534,3743,Merkle Science,2018,10--50
535,7414,Simpl,2015,500 - 1000
536,6827,FieldAssist,2014,50 - 200
537,9254,Ola Electric Mobility,2017,500 - 1000
538,7146,Plateron,2021,0 - 10
539,6216,Ajirasoft,2015,10--50
540,6634,Eli Lilly,1876,More than 1000
541,5333,ResMed,1989,More than 1000
542,8447,E2open,2000,More than 1000
543,4166,GyanDhan,2015,10--50
544,7564,Memorang Labs,2020,10--50
545,5846,Sprinklr,2009,More than 1000
546,9384,The Strategists,2019,10--50
547,2974,73 Strings,2019,10--50
548,1017,Ergode,2010,50 - 200
