Sr No.,Company Name,Estab_year,Employees_count,Location,Designation,Involvement,Skills,HR_Name,Experience,linkedIN,Industry,LinkedIn Emp Count,LinkedIn Followers
31,Automovill,2015,Oct-50,Bangalore,Embedded Engineer,Full Time,"Embedded C,Embedded Systems",Sraboni Saha,1-5 Years,https://www.linkedin.com/company/automovill/?originalSubdomain=in,Motor Vehicle Manufacturing,49 employees,"2,669 followers"
32,Cequence Security,2014,50 - 200,Work From Home,Site Reliability Engineer Or SRE,Full Time,"Python,CI - CD,Kafka,Ansible,Terraform",Sougat Das,5-9 Years,https://www.linkedin.com/company/cequence-security/,Computer and Network Security,172 employees,"14,657 followers"
33,Clario,1990,More than 1000,Bangalore,Fullstack Developer,Full Time,"Java,Spring,Data Structures,Algorithms,JavaScript",Arpita Dey,5-10 Years,https://www.linkedin.com/company/bioclinica/about/,Pharmaceutical Manufacturing,"1,992 employees","92,146 followers"
34,Digit88 Technologies,2014,50 - 200,Pune,Principle Java Engineer,Full Time,"Java,Spring Boot,Microservices,AWS,MySQL",Deepika Kangokar,10-15 Years,https://www.linkedin.com/company/digit88-technologies/about/,IT Services and IT Consulting,64 employees,"2,516 followers"
35,Digit88 Technologies,2014,50 - 200,Pune,Senior Fullstack Developer - Node.js / React.js,Full Time,"Node.js,React.js,TypeScript,MongoDB,Cassandra",Deepika Kangokar,6-10 Years,https://www.linkedin.com/company/digit88-technologies/about/,IT Services and IT Consulting,64 employees,"2,516 followers"
36,Digit88 Technologies,2014,50 - 200,Pune,Senior Java Backend,Full Time,"Java,Spring,Kafka,MySQL,AWS",Deepika Kangokar,6-11 Years,https://www.linkedin.com/company/digit88-technologies/about/,IT Services and IT Consulting,64 employees,"2,516 followers"
37,Miles Education,2011,50 - 200,Bangalore,Data Specialist,Full Time,"SQL,Python,Data Modelling,Data Visualization,ETL",Poonam Borah,3-7 Years,https://www.linkedin.com/company/mileseducation/?originalSubdomain=in,Education,807 employees,"66,944 followers"
38,MSD Technologies,2012,Oct-50,Bangalore,ServiceNow Architect,Full Time,"ServiceNow,Requirements Management,Solution Architecture,Compliance Management,Digital Transformation",Richa Upadhyay,11-16 Years,-----,Not Available,Not Available,Not Available
39,Nab,1981,More than 1000,Gurgaon,Power Platform Developer,Full Time,"Power Automate,Microsoft Power Apps,Canvas",Shanmuga Priya G,5-9 Years,https://www.linkedin.com/company/nab/about/,Banking,"34,230 employees","391,597 followers"
40,Quick Visa Solutions,2015,Oct-50,Gurgaon,Tourist Visa Sales,Full Time,"Sales,Direct Sales,Business Development,Tourism",Kajal Pahuja,1-6 Years,https://www.linkedin.com/company/quickvisasolutions/about/,E-Learning Providers,1 employee,162 followers
41,Accenture,1989,More than 1000,Noida,Manager Data Engineer,Full Time,"Python,SQL,PySpark,Spark,Data Analysis",Titir Guha Roy,6-8 Years,-----,Not Available,Not Available,Not Available
42,Bajaj Finserv,2007,More than 1000,Pune,Technical Project Manager,Full Time,"Project Management,PMP",Harini M,9-11 Years,https://www.linkedin.com/company/bajaj-finserv-lending/,Financial Services,"39,229 employees","982,988 followers"
43,Einfochips,1994,More than 1000,Bangalore,OTT Frontend Developer,Full Time,"JavaScript,Videography,Video Codecs,Node.js,React.js",K Sravani,7-12 Years,https://www.linkedin.com/company/einfochips/,IT Services and IT Consulting,"3,466 employees","191,847 followers"
44,Galaxy Office Automation,1987,200 - 500,Mumbai,Cloud Solution Architect,Full Time,"Cloud Computing,AWS,Azure,CI - CD,AWS CloudFormation",Tamali Ghosh,8-13 Years,https://linkedin.com/company/galaxy-office-automation-pvt--ltd-,Information Technology & Services,341 employees,"6,806 followers"
45,HealthAsyst,1999,200 - 500,Bangalore,Software Engineer,Full Time,"React.js,.NET,C#,SQL",Mythili Achappa,4-6 Years,https://www.linkedin.com/company/healthasyst,Software Development,345 employees,"25,404 followers"
46,Hevo Data,2017,200 - 500,Bangalore,SDE 3,Full Time,"Java,Distributed Systems,Microservices,Big Data,Data Structures",Namrata Sharma,5-9 Years,https://hevodata.com/,Not Available,Not Available,Not Available
47,Hevo Data,2017,200 - 500,Bangalore,Staff Engineer,Full Time,"Java,Distributed Systems,Microservices,Architecture,Big Data",Namrata Sharma,8-12 Years,https://hevodata.com/,Not Available,Not Available,Not Available
48,HomeCapital,2017,Oct-50,Mumbai,Fullstack Developer,Full Time,"PHP,Angular,React.js,Python,MySQL",Sonali Pol,3-8 Years,https://www.linkedin.com/company/homecapital/about/,Financial Services,41 employees,"2,769 followers"
49,NeuralGarage,2021,Oct-50,Bangalore,ML Engineer,Full Time,"Machine Learning,PyTorch,TensorFlow,Computer Vision,Python",Priya Desai,2-6 Years,https://www.linkedin.com/company/neuralgarage/,Software Development,15 employees,"2,020 followers"
50,QuickSell,2017,0 - 10,Work From Home,Senior Backend Engineer,Full Time,"Node.js,AWS,Express.js,JavaScript,Microservices",Srishti Rai,5-8 Years,https://www.linkedin.com/company/quicksell/about/,Software Development,57 employees,"13,219 followers"
51,Acko,2017,500 - 1000,Bangalore,Sr. Data Engineer,Full Time,"ETL,Python,Data Warehousing",Titir Guha Roy,6-8 Years,https://in.linkedin.com/company/acko-general-insurance,Accounting,45 employees,"1,004 followers"
52,CASHe,2016,200 - 500,Mumbai,Human Resources Business Partner,Full Time,"Employee Engagement,Performance Management,Employee Induction,Grievance Management,Talent Management",Aarthi P,5-10 Years,https://www.linkedin.com/company/cashe-app/,Financial Services,320 employees,"10,830 followers"
53,Clari,2012,500 - 1000,Bangalore,Senior Software Engineer,Full Time,"Java,Spring",Deepali Rajage,5-9 Years,https://www.linkedin.com/company/clari/about/,Software Development,740 employees,"44,440 followers"
54,D-Techworks,2022,200 - 500,Work From Home,iOS Developer,Full Time,"iOS,Swift,Objective-C,Xcode,HTML",Aarthi P,9-14 Years,https://www.linkedin.com/company/d-techworks/?originalSubdomain=in,IT Services and IT Consulting,14 employees,214 followers
55,Data Sutram,2018,0 - 10,Mumbai,Data Scientist,Full Time,"Python,Machine Learning",Ankita Sharma,4-8 Years,https://www.linkedin.com/company/data-sutram/about/,Software Development,62 employees,"23,466 followers"
56,GoodBarber,2011,Oct-50,Mumbai,Partnerships Associate,Full Time,"Partnerships,Content Writing,Strategic Planning,Content Marketing,Category Management",Blessy Fernandes,4-9 Years,https://www.linkedin.com/company/goodbarber/,Software Development,36 employees,"2,274 followers"
57,HDFC ERGO,2002,More than 1000,Mumbai,DG Expert,Full Time,"Data Governance,Master Data Management,Data Integration,Data Warehousing,DAMA",Jyotsna Gupta,10-15 Years,-----,Not Available,Not Available,Not Available
58,ModMed,2010,More than 1000,Hyderabad,IT Support Specialist,Full Time,IT Support,Swati,3-5 Years,https://www.linkedin.com/company/modernizing-medicine/about/,Software Development,"1,452 employees","98,037 followers"
59,Paytm Money,2017,200 - 500,Bangalore,SDE 4 / SDL,Full Time,"Java,Algorithms,Elasticsearch,Data Structures",Titir Guha Roy,10-13 Years,https://www.linkedin.com/company/paytmmoney/?utm_source=Social&utm_medium=LinkedIn&utm_campaign=Launch,Investment Management,585 employees,"53,914 followers"
60,VMC Technologies,2010,50 - 200,Pune,Channel Sales Manager,Full Time,"Business Development,Corporate Sales,Direct Sales,Sales",Rashmi Kanta Kumari,3-7 Years,https://www.linkedin.com/company/vmc-technologies-pvt-ltd/about/,Telecommunications,151 employees,"5,508 followers"
61,Apollo.io,2015,50 - 200,Work From Home,Senior QA Engineer,Full Time,"Automation Testing,SDET,JavaScript,Python,Ruby,Selenium",Vikas Dubey,5-9 Years,https://www.linkedin.com/company/apolloio/about/,Software Development,984 employees,"46,265 followers"
62,Axi,2007,50 - 200,Bangalore,Principal Engineer,Full Time,"Java,Golang,Data Structures,Algorithms,Python",Stuti Ahuja,10-15 Years,https://www.linkedin.com/company/axicorp/about/,Financial Services,361 employees,"10,277 followers"
63,Delhivery,2011,More than 1000,Bangalore,QA Engineer,Full Time,"Automation Testing,SDET,Java,Perl,Selenium,SoapUI",Kriti Nagar,1-3 Years,https://www.linkedin.com/company/delhivery/about/,"Transportation, Logistics, Supply Chain and Storage","20,082 employees","738,204 followers"
64,Fountainhead International B.V.,2010,Oct-50,"Delhi, Noida, Work From Home",3D Designer,Full Time,Instructional Design,Talent Team,2-6 Years,https://www.linkedin.com/company/fountainhead-international-b-v/,Events Services,18 employees,855 followers
65,Fountainhead International B.V.,2010,Oct-50,Noida,Sales Cordinator,Full Time,"Category Management,General Management,Operations Management,Vendor Management",Talent Team,2-6 Years,https://www.linkedin.com/company/fountainhead-international-b-v/,Events Services,18 employees,855 followers
66,Havells India,1983,More than 1000,Noida,SAP SD Consultant,Full Time,"SAP SD,OTC,CRM",Zoya Khan,2-7 Years,https://www.linkedin.com/company/havells-india-ltd?originalSubdomain=in,"Appliances, Electrical, and Electronics Manufacturing","10,672 employees","472,883 followers"
67,Netradyne,2015,50 - 200,Bangalore,Full Stack Engineer,Full Time,"Java,JavaScript,Angular,J2EE,Spring",Manikandan Sivaraj,8-12 Years,https://www.linkedin.com/company/netradyne/?originalSubdomain=in,IT Services and IT Consulting,645 employees,"89,927 followers"
68,Netradyne,2015,50 - 200,Bangalore,Lead Technical Customer Support,Full Time,Technical Support,Prasanth Bheeman,6-10 Years,https://www.linkedin.com/company/netradyne/?originalSubdomain=in,IT Services and IT Consulting,645 employees,"89,927 followers"
69,upGrad,2015,50 - 200,Bangalore,Software Developer,Full Time,"Java,Spring Boot,Microservices,SQL,PHP",Ankush Thakur,3-6 Years,https://www.linkedin.com/school/15101462/,Higher Education,78 employees,"12,193 followers"
70,World Compliance Technologies,2011,50 - 200,Gurgaon,Business Operations Head,Full Time,"Operations Management,High Frequency Trading,Trading,Banking Operations",Niharika Sharma,7-12 Years,https://www.linkedin.com/company/wctindia/about/,IT Services and IT Consulting,64 employees,"3,374 followers"
71,Akribiz Business Solutions,1997,50 - 200,Noida,Sales Associate,Full Time,"Sales,Sales Operations",Mariyam Khan,1-6 Years,https://www.linkedin.com/company/akribiz-business-solutions-pvt.-ltd./about/,Retail Office Equipment,57 employees,996 followers
72,Asentech,2007,50 - 200,Pune,Sr. .NET Developer,Full Time,"ASP.NET,.NET,MySQL,JavaScript,CSS",Saba Ansari,7-12 Years,https://www.linkedin.com/company/asentech-llc/,IT Services and IT Consulting,110 employees,"1,630 followers"
73,Komprise,2014,Oct-50,Bangalore,Business Analyst,Full Time,"Power BI,Tableau,Business Analysis",Khushboo Kothari,5-8 Years,-----,Not Available,Not Available,Not Available
74,Komprise,2014,Oct-50,Bangalore,Business Analyst,Full Time,"Power BI,Tableau,CRM,Data Analysis,Microsoft Excel",Khushboo Kothari,5-8 Years,-----,Not Available,Not Available,Not Available
75,Minutus Computing,2019,Oct-50,Pune,Sr. Accountant,Full Time,"Tally,Zoho Books,Accounting,Finance,Auditing",Vijay Gangarde,3-8 Years,https://www.linkedin.com/company/minutus-computing/,Software Development,39 employees,"1,094 followers"
76,RSPL,1987,More than 1000,Gurgaon,Assistant Brand Manager,Full Time,"ATL,BTL,OOH,Brand Management,Marketing",Priya Ayachit,5-7 Years,https://www.linkedin.com/company/rspl-group/about/,Manufacturing,"4,059 employees","43,811 followers"
77,Tower Research Capital,1998,500 - 1000,Gurgaon,Quantitave Research Trader,Full Time,"Trading,Commodity Trading,High Frequency Trading,Equity Research,Currency Trading",Niharika Sharma,4-9 Years,https://www.linkedin.com/company/tower-research-capital,Financial Services,"1,118 employees","106,768 followers"
78,Univariety,2011,50 - 200,Hyderabad,Assistant Manager - Digital Marketing,Full Time,"Content Marketing,Digital Marketing,Facebook Marketing,Google Ads,Social Media Marketing",Sunitha Mudiraj,3-5 Years,https://www.linkedin.com/school/univariety/about/,Education,220 employees,"7,989 followers"
79,Ziroh Labs,2016,0 - 10,Bangalore,React Native Engineer,Full Time,"JavaScript,React Native,Hybrid Apps,TypeScript,React.js",Ismail Yakub Shaikh,1-3 Years,https://www.linkedin.com/company/zirohlabs,"Technology, Information and Internet",75 employees,"2,494 followers"
